Rank,make,range,recharge_time
1,Lucid,695.1111111111111,11.333333333333334
2,Tesla,519.875,11.40625
3,Rivian,513.45,13.0
4,Cadillac,498.0,8.6
5,Hyundai,449.5,7.675
6,Mercedes-Benz,441.09090909090907,9.954545454545455
7,Ford,436.3636363636364,9.327272727272726
8,BMW,435.88235294117646,10.352941176470589
9,Polestar,417.0,8.0
10,Chevrolet,407.0,7.5
